UserID,Timepoint,l_shoulder_x,l_shoulder_y,l_shoulder_z,l_elbow_x,l_elbow_y,l_elbow_z,l_wrist_x,l_wrist_y,l_wrist_z,r_shoulder_x,r_shoulder_y,r_shoulder_z,r_elbow_x,r_elbow_y,r_elbow_z,r_wrist_x,r_wrist_y,r_wrist_z
G0004,2023-03-03T12:29:56.2880000Z,0,0,0,-3.62,7.24,30.96,-1.51,-13.67,21.62,0,0,0,7.5,4.37,30.8,13.83,16.05,49.58
G0004,2023-03-03T13:32:24.5040000Z,0,0,0,-1.84,7.5,31.05,-3.52,-13.47,21.76,0,0,0,6.93,6.03,30.65,11.14,18.9,49.25
G0004,2023-03-03T13:42:32.2310000Z,0,0,0,-1.7,7.55,31.05,-3.72,-13.4,21.77,0,0,0,6.8,6.29,30.63,10.66,19.31,49.19
G0004,2023-03-10T09:54:18.0600000Z,0,0,0,-10.46,-4.02,29.97,-11.12,-5.59,52.91,0,0,0,-1.88,12.94,29.21,-10.73,31.95,38.65
G0004,2023-03-14T12:52:45.5240000Z,0,0,0,-10.28,-4.15,30.02,-10.64,-5.64,52.97,0,0,0,-2.23,13.02,29.15,-11.26,31.96,38.57
G0004,2023-03-14T12:52:49.1180000Z,0,0,0,-10.28,-4.17,30.01,-10.72,-5.71,52.96,0,0,0,-2.27,13.08,29.12,-11.34,32.04,38.46
G0004,2023-03-16T11:31:52.4990000Z,0,0,0,-12.88,-0.18,29.29,-7.59,-2.26,51.58,,,,,,,,,
G0004,2023-03-16T11:32:09.6090000Z,0,0,0,-11.62,5.56,29.29,-7.94,1.4,51.61,,,,,,,,,
G0004,2023-03-16T11:32:13.2350000Z,0,0,0,-11.65,5.54,29.28,-7.94,1.33,51.59,,,,,,,,,
G0004,2023-03-16T11:32:16.9220000Z,0,0,0,-11.53,4.75,29.47,-7.82,0.92,51.85,,,,,,,,,
G0004,2023-03-16T11:32:20.4380000Z,0,0,0,-11.53,4.76,29.47,-7.83,0.95,51.84,,,,,,,,,
G0004,2023-03-16T11:32:24.1880000Z,0,0,0,-11.55,4.73,29.46,-7.87,0.89,51.84,,,,,,,,,
